Serial Number	Name	Value
A-000-000-175	Horse	1000.00
A-000-000-176	Horse	1000.00
A-000-000-177	Horse	1000.00
A-000-000-178	Horse	1000.00
A-000-000-179	Horse	1000.00
A-000-000-180	Horse	1000.00
A-000-000-181	Horse	1000.00
A-000-000-182	Horse	1000.00
A-000-000-183	Horse	1000.00
A-000-000-184	Horse	1000.00
A-000-000-185	Horse	1000.00
A-000-000-186	Horse	1000.00
A-000-000-187	Horse	1000.00
A-000-000-188	Horse	1000.00
A-000-000-189	Horse	1000.00
A-000-000-190	Horse	1000.00
A-000-000-191	Horse	1000.00
A-000-000-192	Horse	1000.00
A-000-000-193	Horse	1000.00
A-000-000-194	Horse	1000.00
A-000-000-195	Horse	1000.00
A-000-000-196	Horse	1000.00
A-000-000-197	Horse	1000.00
A-000-000-198	Horse	1000.00
A-000-000-199	Horse	1000.00
A-000-000-200	Horse	1000.00
A-000-000-201	Horse	1000.00
A-000-000-202	Horse	1000.00
A-000-000-203	Horse	1000.00
A-000-000-204	Horse	1000.00
A-000-000-205	Horse	1000.00
A-000-000-206	Horse	1000.00
A-000-000-207	Horse	1000.00
A-000-000-208	Horse	1000.00
A-000-000-209	Horse	1000.00
A-000-000-210	Horse	1000.00
A-000-000-211	Horse	1000.00
A-000-000-212	Horse	1000.00
A-000-000-213	Horse	1000.00
A-000-000-214	Horse	1000.00
A-000-000-215	Horse	1000.00
A-000-000-216	Horse	1000.00
A-000-000-217	Horse	1000.00
A-000-000-218	Horse	1000.00
A-000-000-219	Horse	1000.00
A-000-000-220	Horse	1000.00
A-000-000-221	Horse	1000.00
A-000-000-222	Horse	1000.00
A-000-000-223	Horse	1000.00
A-000-000-224	Horse	1000.00
A-000-000-225	Horse	1000.00
A-000-000-226	Horse	1000.00
A-000-000-227	Horse	1000.00
A-000-000-228	Horse	1000.00
A-000-000-229	Horse	1000.00
A-000-000-230	Horse	1000.00
A-000-000-231	Horse	1000.00
A-000-000-232	Horse	1000.00
A-000-000-233	Horse	1000.00
A-000-000-234	Horse	1000.00
A-000-000-235	Horse	1000.00
A-000-000-236	Horse	1000.00
A-000-000-237	Horse	1000.00
A-000-000-238	Horse	1000.00
A-000-000-239	Horse	1000.00
A-000-000-240	Horse	1000.00
A-000-000-241	Horse	1000.00
A-000-000-242	Horse	1000.00
A-000-000-243	Horse	1000.00
A-000-000-244	Horse	1000.00
A-000-000-245	Horse	1000.00
A-000-000-246	Horse	1000.00
A-000-000-247	Horse	1000.00
A-000-000-248	Horse	1000.00
A-000-000-249	Horse	1000.00
A-000-000-250	Horse	1000.00
A-000-000-251	Horse	1000.00
A-000-000-252	Horse	1000.00
A-000-000-253	Horse	1000.00
A-000-000-254	Horse	1000.00
A-000-000-255	Horse	1000.00
A-000-000-256	Horse	1000.00
A-000-000-257	Horse	1000.00
A-000-000-258	Horse	1000.00
A-000-000-259	Horse	1000.00
A-000-000-260	Horse	1000.00
A-000-000-261	Horse	1000.00
A-000-000-262	Horse	1000.00
A-000-000-263	Horse	1000.00
A-000-000-264	Horse	1000.00
A-000-000-265	Horse	1000.00
A-000-000-266	Horse	1000.00
A-000-000-267	Horse	1000.00
A-000-000-268	Horse	1000.00
A-000-000-269	Horse	1000.00
A-000-000-270	Horse	1000.00
A-000-000-271	Horse	1000.00
A-000-000-272	Horse	1000.00
A-000-000-273	Horse	1000.00
A-000-000-274	Horse	1000.00
A-000-000-275	Horse	1000.00
A-000-000-276	Horse	1000.00
A-000-000-277	Horse	1000.00
A-000-000-278	Horse	1000.00
A-000-000-279	Horse	1000.00
A-000-000-280	Horse	1000.00
A-000-000-281	Horse	1000.00
A-000-000-282	Horse	1000.00
A-000-000-283	Horse	1000.00
A-000-000-284	Horse	1000.00
A-000-000-285	Horse	1000.00
A-000-000-286	Horse	1000.00
A-000-000-287	Horse	1000.00
A-000-000-288	Horse	1000.00
A-000-000-289	Horse	1000.00
A-000-000-290	Horse	1000.00
A-000-000-291	Horse	1000.00
A-000-000-292	Horse	1000.00
A-000-000-293	Horse	1000.00
A-000-000-294	Horse	1000.00
A-000-000-295	Horse	1000.00
A-000-000-296	Horse	1000.00
A-000-000-297	Horse	1000.00
A-000-000-298	Horse	1000.00
A-000-000-299	Horse	1000.00
A-000-000-300	Horse	1000.00
A-000-000-301	Horse	1000.00
A-000-000-302	Horse	1000.00
A-000-000-303	Horse	1000.00
A-000-000-304	Horse	1000.00
A-000-000-305	Horse	1000.00
A-000-000-306	Horse	1000.00
A-000-000-307	Horse	1000.00
A-000-000-308	Horse	1000.00
A-000-000-309	Horse	1000.00
A-000-000-310	Horse	1000.00
A-000-000-311	Horse	1000.00
A-000-000-312	Horse	1000.00
A-000-000-313	Horse	1000.00
A-000-000-314	Horse	1000.00
A-000-000-315	Horse	1000.00
A-000-000-316	Horse	1000.00
A-000-000-317	Horse	1000.00
A-000-000-318	Horse	1000.00
A-000-000-319	Horse	1000.00
A-000-000-320	Horse	1000.00
A-000-000-321	Horse	1000.00
A-000-000-322	Horse	1000.00
A-000-000-323	Horse	1000.00
A-000-000-324	Horse	1000.00
A-000-000-325	Horse	1000.00
A-000-000-326	Horse	1000.00
A-000-000-327	Horse	1000.00
A-000-000-328	Horse	1000.00
A-000-000-329	Horse	1000.00
A-000-000-330	Horse	1000.00
A-000-000-331	Horse	1000.00
A-000-000-332	Horse	1000.00
A-000-000-333	Horse	1000.00
A-000-000-334	Horse	1000.00
A-000-000-335	Horse	1000.00
A-000-000-336	Horse	1000.00
A-000-000-337	Horse	1000.00
A-000-000-338	Horse	1000.00
A-000-000-339	Horse	1000.00
A-000-000-340	Horse	1000.00
A-000-000-341	Horse	1000.00
A-000-000-342	Horse	1000.00
A-000-000-343	Horse	1000.00
A-000-000-344	Horse	1000.00
A-000-000-345	Horse	1000.00
A-000-000-346	Horse	1000.00
A-000-000-347	Horse	1000.00
A-000-000-348	Horse	1000.00
A-000-000-349	Horse	1000.00
A-000-000-350	Horse	1000.00
A-000-000-351	Horse	1000.00
A-000-000-352	Horse	1000.00
A-000-000-353	Horse	1000.00
A-000-000-354	Horse	1000.00
A-000-000-355	Horse	1000.00
A-000-000-356	Horse	1000.00
A-000-000-357	Horse	1000.00
A-000-000-358	Horse	1000.00
A-000-000-359	Horse	1000.00
A-000-000-360	Horse	1000.00
A-000-000-361	Horse	1000.00
A-000-000-362	Horse	1000.00
A-000-000-363	Horse	1000.00
A-000-000-364	Horse	1000.00
A-000-000-365	Horse	1000.00
A-000-000-366	Horse	1000.00
A-000-000-367	Horse	1000.00
A-000-000-368	Horse	1000.00
A-000-000-369	Horse	1000.00
A-000-000-370	Horse	1000.00
A-000-000-371	Horse	1000.00
A-000-000-372	Horse	1000.00
A-000-000-373	Horse	1000.00
A-000-000-374	Horse	1000.00
A-000-000-375	Horse	1000.00
A-000-000-376	Horse	1000.00
A-000-000-377	Horse	1000.00
A-000-000-378	Horse	1000.00
A-000-000-379	Horse	1000.00
A-000-000-380	Horse	1000.00
A-000-000-381	Horse	1000.00
A-000-000-382	Horse	1000.00
A-000-000-383	Horse	1000.00
A-000-000-384	Horse	1000.00
A-000-000-385	Horse	1000.00
A-000-000-386	Horse	1000.00
A-000-000-387	Horse	1000.00
A-000-000-388	Horse	1000.00
A-000-000-389	Horse	1000.00
A-000-000-390	Horse	1000.00
A-000-000-391	Horse	1000.00
A-000-000-392	Horse	1000.00
A-000-000-393	Horse	1000.00
A-000-000-394	Horse	1000.00
A-000-000-395	Horse	1000.00
A-000-000-396	Horse	1000.00
A-000-000-397	Horse	1000.00
A-000-000-398	Horse	1000.00
A-000-000-399	Horse	1000.00
A-000-000-400	Horse	1000.00
A-000-000-401	Horse	1000.00
A-000-000-402	Horse	1000.00
A-000-000-403	Horse	1000.00
A-000-000-404	Horse	1000.00
A-000-000-405	Horse	1000.00
A-000-000-406	Horse	1000.00
A-000-000-407	Horse	1000.00
A-000-000-408	Horse	1000.00
A-000-000-409	Horse	1000.00
A-000-000-410	Horse	1000.00
A-000-000-411	Horse	1000.00
A-000-000-412	Horse	1000.00
A-000-000-413	Horse	1000.00
A-000-000-414	Horse	1000.00
A-000-000-415	Horse	1000.00
A-000-000-416	Horse	1000.00
A-000-000-417	Horse	1000.00
A-000-000-418	Horse	1000.00
A-000-000-419	Horse	1000.00
A-000-000-420	Horse	1000.00
A-000-000-421	Horse	1000.00
A-000-000-422	Horse	1000.00
A-000-000-423	Horse	1000.00
A-000-000-424	Horse	1000.00
A-000-000-425	Horse	1000.00
A-000-000-426	Horse	1000.00
A-000-000-427	Horse	1000.00
A-000-000-428	Horse	1000.00
A-000-000-429	Horse	1000.00
A-000-000-430	Horse	1000.00
A-000-000-431	Horse	1000.00
A-000-000-432	Horse	1000.00
A-000-000-433	Horse	1000.00
A-000-000-434	Horse	1000.00
A-000-000-435	Horse	1000.00
A-000-000-436	Horse	1000.00
A-000-000-437	Horse	1000.00
A-000-000-438	Horse	1000.00
A-000-000-439	Horse	1000.00
A-000-000-440	Horse	1000.00
A-000-000-441	Horse	1000.00
A-000-000-442	Horse	1000.00
A-000-000-443	Horse	1000.00
A-000-000-444	Horse	1000.00
A-000-000-445	Horse	1000.00
A-000-000-446	Horse	1000.00
A-000-000-447	Horse	1000.00
A-000-000-448	Horse	1000.00
A-000-000-449	Horse	1000.00
A-000-000-450	Horse	1000.00
A-000-000-451	Horse	1000.00
A-000-000-452	Horse	1000.00
A-000-000-453	Horse	1000.00
A-000-000-454	Horse	1000.00
A-000-000-455	Horse	1000.00
A-000-000-456	Horse	1000.00
A-000-000-457	Horse	1000.00
A-000-000-458	Horse	1000.00
A-000-000-459	Horse	1000.00
A-000-000-460	Horse	1000.00
A-000-000-461	Horse	1000.00
A-000-000-462	Horse	1000.00
A-000-000-463	Horse	1000.00
A-000-000-464	Horse	1000.00
A-000-000-465	Horse	1000.00
A-000-000-466	Horse	1000.00
A-000-000-467	Horse	1000.00
A-000-000-468	Horse	1000.00
A-000-000-469	Horse	1000.00
A-000-000-470	Horse	1000.00
A-000-000-471	Horse	1000.00
A-000-000-472	Horse	1000.00
A-000-000-473	Horse	1000.00
A-000-000-474	Horse	1000.00
A-000-000-475	Horse	1000.00
A-000-000-476	Horse	1000.00
A-000-000-477	Horse	1000.00
A-000-000-478	Horse	1000.00
A-000-000-479	Horse	1000.00
A-000-000-480	Horse	1000.00
A-000-000-481	Horse	1000.00
A-000-000-482	Horse	1000.00
A-000-000-483	Horse	1000.00
A-000-000-484	Horse	1000.00
A-000-000-485	Horse	1000.00
A-000-000-486	Horse	1000.00
A-000-000-487	Horse	1000.00
A-000-000-488	Horse	1000.00
A-000-000-489	Horse	1000.00
A-000-000-490	Horse	1000.00
A-000-000-491	Horse	1000.00
A-000-000-492	Horse	1000.00
A-000-000-493	Horse	1000.00
A-000-000-494	Horse	1000.00
A-000-000-495	Horse	1000.00
A-000-000-496	Horse	1000.00
A-000-000-497	Horse	1000.00
A-000-000-498	Horse	1000.00
A-000-000-499	Horse	1000.00
A-000-000-500	Horse	1000.00
A-000-000-501	Horse	1000.00
A-000-000-502	Horse	1000.00
A-000-000-503	Horse	1000.00
A-000-000-504	Horse	1000.00
A-000-000-505	Horse	1000.00
A-000-000-506	Horse	1000.00
A-000-000-507	Horse	1000.00
A-000-000-508	Horse	1000.00
A-000-000-509	Horse	1000.00
A-000-000-510	Horse	1000.00
A-000-000-511	Horse	1000.00
A-000-000-512	Horse	1000.00
A-000-000-513	Horse	1000.00
A-000-000-514	Horse	1000.00
A-000-000-515	Horse	1000.00
A-000-000-516	Horse	1000.00
A-000-000-517	Horse	1000.00
A-000-000-518	Horse	1000.00
A-000-000-519	Horse	1000.00
A-000-000-520	Horse	1000.00
A-000-000-521	Horse	1000.00
A-000-000-522	Horse	1000.00
A-000-000-523	Horse	1000.00
A-000-000-524	Horse	1000.00
A-000-000-525	Horse	1000.00
A-000-000-526	Horse	1000.00
A-000-000-527	Horse	1000.00
A-000-000-528	Horse	1000.00
A-000-000-529	Horse	1000.00
A-000-000-530	Horse	1000.00
A-000-000-531	Horse	1000.00
A-000-000-532	Horse	1000.00
A-000-000-533	Horse	1000.00
A-000-000-534	Horse	1000.00
A-000-000-535	Horse	1000.00
A-000-000-536	Horse	1000.00
A-000-000-537	Horse	1000.00
A-000-000-538	Horse	1000.00
A-000-000-539	Horse	1000.00
A-000-000-540	Horse	1000.00
A-000-000-541	Horse	1000.00
A-000-000-542	Horse	1000.00
A-000-000-543	Horse	1000.00
A-000-000-544	Horse	1000.00
A-000-000-545	Horse	1000.00
A-000-000-546	Horse	1000.00
A-000-000-547	Horse	1000.00
A-000-000-548	Horse	1000.00
A-000-000-549	Horse	1000.00
A-000-000-550	Horse	1000.00
A-000-000-551	Horse	1000.00
A-000-000-552	Horse	1000.00
A-000-000-553	Horse	1000.00
A-000-000-554	Horse	1000.00
A-000-000-555	Horse	1000.00
A-000-000-556	Horse	1000.00
A-000-000-557	Horse	1000.00
A-000-000-558	Horse	1000.00
A-000-000-559	Horse	1000.00
A-000-000-560	Horse	1000.00
A-000-000-561	Horse	1000.00
A-000-000-562	Horse	1000.00
A-000-000-563	Horse	1000.00
A-000-000-564	Horse	1000.00
A-000-000-565	Horse	1000.00
A-000-000-566	Horse	1000.00
A-000-000-567	Horse	1000.00
A-000-000-568	Horse	1000.00
A-000-000-569	Horse	1000.00
A-000-000-570	Horse	1000.00
A-000-000-571	Horse	1000.00
A-000-000-572	Horse	1000.00
A-000-000-573	Horse	1000.00
A-000-000-574	Horse	1000.00
A-000-000-575	Horse	1000.00
A-000-000-576	Horse	1000.00
A-000-000-577	Horse	1000.00
A-000-000-578	Horse	1000.00
A-000-000-579	Horse	1000.00
A-000-000-580	Horse	1000.00
A-000-000-581	Horse	1000.00
A-000-000-582	Horse	1000.00
A-000-000-583	Horse	1000.00
A-000-000-584	Horse	1000.00
A-000-000-585	Horse	1000.00
A-000-000-586	Horse	1000.00
A-000-000-587	Horse	1000.00
A-000-000-588	Horse	1000.00
A-000-000-589	Horse	1000.00
A-000-000-590	Horse	1000.00
A-000-000-591	Horse	1000.00
A-000-000-592	Horse	1000.00
A-000-000-593	Horse	1000.00
A-000-000-594	Horse	1000.00
A-000-000-595	Horse	1000.00
A-000-000-596	Horse	1000.00
A-000-000-597	Horse	1000.00
A-000-000-598	Horse	1000.00
A-000-000-599	Horse	1000.00
A-000-000-600	Horse	1000.00
A-000-000-601	Horse	1000.00
A-000-000-602	Horse	1000.00
A-000-000-603	Horse	1000.00
A-000-000-604	Horse	1000.00
A-000-000-605	Horse	1000.00
A-000-000-606	Horse	1000.00
A-000-000-607	Horse	1000.00
A-000-000-608	Horse	1000.00
A-000-000-609	Horse	1000.00
A-000-000-610	Horse	1000.00
A-000-000-611	Horse	1000.00
A-000-000-612	Horse	1000.00
A-000-000-613	Horse	1000.00
A-000-000-614	Horse	1000.00
A-000-000-615	Horse	1000.00
A-000-000-616	Horse	1000.00
A-000-000-617	Horse	1000.00
A-000-000-618	Horse	1000.00
A-000-000-619	Horse	1000.00
A-000-000-620	Horse	1000.00
A-000-000-621	Horse	1000.00
A-000-000-622	Horse	1000.00
A-000-000-623	Horse	1000.00
A-000-000-624	Horse	1000.00
A-000-000-625	Horse	1000.00
A-000-000-626	Horse	1000.00
A-000-000-627	Horse	1000.00
A-000-000-628	Horse	1000.00
A-000-000-629	Horse	1000.00
A-000-000-630	Horse	1000.00
A-000-000-631	Horse	1000.00
A-000-000-632	Horse	1000.00
A-000-000-633	Horse	1000.00
A-000-000-634	Horse	1000.00
A-000-000-635	Horse	1000.00
A-000-000-636	Horse	1000.00
A-000-000-637	Horse	1000.00
A-000-000-638	Horse	1000.00
A-000-000-639	Horse	1000.00
A-000-000-640	Horse	1000.00
A-000-000-641	Horse	1000.00
A-000-000-642	Horse	1000.00
A-000-000-643	Horse	1000.00
A-000-000-644	Horse	1000.00
A-000-000-645	Horse	1000.00
A-000-000-646	Horse	1000.00
A-000-000-647	Horse	1000.00
A-000-000-648	Horse	1000.00
A-000-000-649	Horse	1000.00
A-000-000-650	Horse	1000.00
A-000-000-651	Horse	1000.00
A-000-000-652	Horse	1000.00
A-000-000-653	Horse	1000.00
A-000-000-654	Horse	1000.00
A-000-000-655	Horse	1000.00
A-000-000-656	Horse	1000.00
A-000-000-657	Horse	1000.00
A-000-000-658	Horse	1000.00
A-000-000-659	Horse	1000.00
A-000-000-660	Horse	1000.00
A-000-000-661	Horse	1000.00
A-000-000-662	Horse	1000.00
A-000-000-663	Horse	1000.00
A-000-000-664	Horse	1000.00
A-000-000-665	Horse	1000.00
A-000-000-666	Horse	1000.00
A-000-000-667	Horse	1000.00
A-000-000-668	Horse	1000.00
A-000-000-669	Horse	1000.00
A-000-000-670	Horse	1000.00
A-000-000-671	Horse	1000.00
A-000-000-672	Horse	1000.00
A-000-000-673	Horse	1000.00
A-000-000-674	Horse	1000.00
A-000-000-675	Horse	1000.00
A-000-000-676	Horse	1000.00
A-000-000-677	Horse	1000.00
A-000-000-678	Horse	1000.00
A-000-000-679	Horse	1000.00
A-000-000-680	Horse	1000.00
A-000-000-681	Horse	1000.00
A-000-000-682	Horse	1000.00
A-000-000-683	Horse	1000.00
A-000-000-684	Horse	1000.00
A-000-000-685	Horse	1000.00
A-000-000-686	Horse	1000.00
A-000-000-687	Horse	1000.00
A-000-000-688	Horse	1000.00
A-000-000-689	Horse	1000.00
A-000-000-690	Horse	1000.00
A-000-000-691	Horse	1000.00
A-000-000-692	Horse	1000.00
A-000-000-693	Horse	1000.00
A-000-000-694	Horse	1000.00
A-000-000-695	Horse	1000.00
A-000-000-696	Horse	1000.00
A-000-000-697	Horse	1000.00
A-000-000-698	Horse	1000.00
A-000-000-699	Horse	1000.00
A-000-000-700	Horse	1000.00
A-000-000-701	Horse	1000.00
A-000-000-702	Horse	1000.00
A-000-000-703	Horse	1000.00
A-000-000-704	Horse	1000.00
A-000-000-705	Horse	1000.00
A-000-000-706	Horse	1000.00
A-000-000-707	Horse	1000.00
A-000-000-708	Horse	1000.00
A-000-000-709	Horse	1000.00
A-000-000-710	Horse	1000.00
A-000-000-711	Horse	1000.00
A-000-000-712	Horse	1000.00
A-000-000-713	Horse	1000.00
A-000-000-714	Horse	1000.00
A-000-000-715	Horse	1000.00
A-000-000-716	Horse	1000.00
A-000-000-717	Horse	1000.00
A-000-000-718	Horse	1000.00
A-000-000-719	Horse	1000.00
A-000-000-720	Horse	1000.00
A-000-000-721	Horse	1000.00
A-000-000-722	Horse	1000.00
A-000-000-723	Horse	1000.00
A-000-000-724	Horse	1000.00
A-000-000-725	Horse	1000.00
A-000-000-726	Horse	1000.00
A-000-000-727	Horse	1000.00
A-000-000-728	Horse	1000.00
A-000-000-729	Horse	1000.00
A-000-000-730	Horse	1000.00
A-000-000-731	Horse	1000.00
A-000-000-732	Horse	1000.00
A-000-000-733	Horse	1000.00
A-000-000-734	Horse	1000.00
A-000-000-735	Horse	1000.00
A-000-000-736	Horse	1000.00
A-000-000-737	Horse	1000.00
A-000-000-738	Horse	1000.00
A-000-000-739	Horse	1000.00
A-000-000-740	Horse	1000.00
A-000-000-741	Horse	1000.00
A-000-000-742	Horse	1000.00
A-000-000-743	Horse	1000.00
A-000-000-744	Horse	1000.00
A-000-000-745	Horse	1000.00
A-000-000-746	Horse	1000.00
A-000-000-747	Horse	1000.00
A-000-000-748	Horse	1000.00
A-000-000-749	Horse	1000.00
A-000-000-750	Horse	1000.00
A-000-000-751	Horse	1000.00
A-000-000-752	Horse	1000.00
A-000-000-753	Horse	1000.00
A-000-000-754	Horse	1000.00
A-000-000-755	Horse	1000.00
A-000-000-756	Horse	1000.00
A-000-000-757	Horse	1000.00
A-000-000-758	Horse	1000.00
A-000-000-759	Horse	1000.00
A-000-000-760	Horse	1000.00
A-000-000-761	Horse	1000.00
A-000-000-762	Horse	1000.00
A-000-000-763	Horse	1000.00
A-000-000-764	Horse	1000.00
A-000-000-765	Horse	1000.00
A-000-000-766	Horse	1000.00
A-000-000-767	Horse	1000.00
A-000-000-768	Horse	1000.00
A-000-000-769	Horse	1000.00
A-000-000-770	Horse	1000.00
A-000-000-771	Horse	1000.00
A-000-000-772	Horse	1000.00
A-000-000-773	Horse	1000.00
A-000-000-774	Horse	1000.00
A-000-000-775	Horse	1000.00
A-000-000-776	Horse	1000.00
A-000-000-777	Horse	1000.00
A-000-000-778	Horse	1000.00
A-000-000-779	Horse	1000.00
A-000-000-780	Horse	1000.00
A-000-000-781	Horse	1000.00
A-000-000-782	Horse	1000.00
A-000-000-783	Horse	1000.00
A-000-000-784	Horse	1000.00
A-000-000-785	Horse	1000.00
A-000-000-786	Horse	1000.00
A-000-000-787	Horse	1000.00
A-000-000-788	Horse	1000.00
A-000-000-789	Horse	1000.00
A-000-000-790	Horse	1000.00
A-000-000-791	Horse	1000.00
A-000-000-792	Horse	1000.00
A-000-000-793	Horse	1000.00
A-000-000-794	Horse	1000.00
A-000-000-795	Horse	1000.00
A-000-000-796	Horse	1000.00
A-000-000-797	Horse	1000.00
A-000-000-798	Horse	1000.00
A-000-000-799	Horse	1000.00
A-000-000-800	Horse	1000.00
A-000-000-801	Horse	1000.00
A-000-000-802	Horse	1000.00
A-000-000-803	Horse	1000.00
A-000-000-804	Horse	1000.00
A-000-000-805	Horse	1000.00
A-000-000-806	Horse	1000.00
A-000-000-807	Horse	1000.00
A-000-000-808	Horse	1000.00
A-000-000-809	Horse	1000.00
A-000-000-810	Horse	1000.00
A-000-000-811	Horse	1000.00
A-000-000-812	Horse	1000.00
A-000-000-813	Horse	1000.00
A-000-000-814	Horse	1000.00
A-000-000-815	Horse	1000.00
A-000-000-816	Horse	1000.00
A-000-000-817	Horse	1000.00
A-000-000-818	Horse	1000.00
A-000-000-819	Horse	1000.00
A-000-000-820	Horse	1000.00
A-000-000-821	Horse	1000.00
